1
各位，中央电视台《焦点访谈》已经播出,可口可乐承认旗下跟其他农药一样,对脑部影响最大,可引致局部麻痹,并会导致癌症。请火速转给你的朋友，不要给孩子们喝这种饮料 。转
[0.5105945467948914, 0.5270609259605408, 0.4685022532939911, 0.3636351227760315, 0.5262420177459717]
[0.5143884420394897, 0.583830714225769, 0.41856154799461365, 0.28711235523223877, 0.5231242179870605]
[0.5438017845153809, 0.5942021012306213, 0.41521143913269043, 0.26803213357925415, 0.5571514964103699]
[0.5160819888114929, 0.5617271661758423, 0.4228043258190155, 0.29584893584251404, 0.513836145401001]
[0.5153916478157043, 0.5732280611991882, 0.4367660880088806, 0.28680145740509033, 0.5496825575828552]
[0.58805912733078, 0.580715000629425, 0.40167444944381714, 0.25812819600105286, 0.556303858757019]
[0.4701232314109802, 0.5679696202278137, 0.43593209981918335, 0.3090139925479889, 0.5229495763778687]
[0.4661133289337158, 0.5253400802612305, 0.4710763394832611, 0.3865925371646881, 0.5305795669555664]
[0.5077374577522278, 0.5782542824745178, 0.43518397212028503, 0.2834636867046356, 0.5200361013412476]
[0.49739015102386475, 0.5466933846473694, 0.4274756610393524, 0.28638243675231934, 0.5413766503334045]
[0.5213336944580078, 0.5703336596488953, 0.40776917338371277, 0.28313395380973816, 0.5374167561531067]
[0.5809543132781982, 0.5918154120445251, 0.40272077918052673, 0.2616405189037323, 0.5645490288734436]
[0.4858928620815277, 0.5569557547569275, 0.46770286560058594, 0.3295536935329437, 0.5058644413948059]
[0.39908942580223083, 0.5341281294822693, 0.48867565393447876, 0.3965799808502197, 0.43169236183166504]
[0.5165886878967285, 0.5812503099441528, 0.43112704157829285, 0.2933831512928009, 0.5205538868904114]
[0.41267117857933044, 0.5368465781211853, 0.5024067759513855, 0.3868759572505951, 0.46331217885017395]
[0.5653747320175171, 0.5958674550056458, 0.410073459148407, 0.2521335780620575, 0.5308053493499756]
[0.5587548017501831, 0.5587829351425171, 0.4104299545288086, 0.2633891701698303, 0.5312773585319519]
[0.4472391605377197, 0.5513625144958496, 0.42918139696121216, 0.2561889588832855, 0.5370400547981262]
[0.5015527606010437, 0.5811606049537659, 0.4453160762786865, 0.2929193377494812, 0.5432721972465515]
[0.49577686190605164, 0.5832553505897522, 0.42610645294189453, 0.27595531940460205, 0.5108104348182678]
[0.47421589493751526, 0.5379222631454468, 0.47798657417297363, 0.35938093066215515, 0.5217661261558533]
[0.5356758832931519, 0.5875645279884338, 0.3988873064517975, 0.2612370550632477, 0.5325288772583008]
[0.47619232535362244, 0.5477409958839417, 0.4701533615589142, 0.36207109689712524, 0.47254496812820435]
[0.506625771522522, 0.571293830871582, 0.41761618852615356, 0.2684869170188904, 0.5464546084403992]
[0.4256211519241333, 0.5429396629333496, 0.48034414649009705, 0.37810081243515015, 0.4832058846950531]
[0.527854323387146, 0.5857251286506653, 0.42558375000953674, 0.27191784977912903, 0.5264109373092651]
[0.3781473636627197, 0.5560678839683533, 0.4258139431476593, 0.27449721097946167, 0.46183428168296814]
[0.5162274837493896, 0.5756977796554565, 0.43766435980796814, 0.2803575396537781, 0.537330150604248]
[0.5786004662513733, 0.536811113357544, 0.450161874294281, 0.34798526763916016, 0.5617908239364624]
[0.45555177330970764, 0.5622596740722656, 0.4349041283130646, 0.3188876211643219, 0.5113635063171387]
[0.5632808208465576, 0.5908942818641663, 0.3963886499404907, 0.2605571746826172, 0.5445885062217712]
[0.4474634528160095, 0.5387405753135681, 0.4866778552532196, 0.3155634105205536, 0.5073772072792053]
[0.521691083908081, 0.5878927707672119, 0.4193263351917267, 0.279192179441452, 0.5255200266838074]
[0.43749335408210754, 0.5503594279289246, 0.45684051513671875, 0.31285402178764343, 0.4930003583431244]
[0.5119088888168335, 0.5896897315979004, 0.46785372495651245, 0.30039840936660767, 0.522786021232605]
[0.4549046754837036, 0.575327455997467, 0.4446619749069214, 0.30668047070503235, 0.5162353515625]
[0.5451405048370361, 0.5799071192741394, 0.4316512644290924, 0.266661137342453, 0.5196403861045837]
